threshold,precision,recall,f1
0.05,0.31155778894472363,0.9946524064171123,0.4744897959183674
0.1,0.3524904214559387,0.983957219251337,0.5190409026798307
0.15,0.37945492662473795,0.9679144385026738,0.5451807228915663
0.2,0.4031890660592255,0.946524064171123,0.5654952076677316
0.25,0.4291044776119403,0.9224598930481284,0.5857385398981324
0.3,0.44878706199460916,0.8903743315508021,0.5967741935483871
0.35,0.4644412191582003,0.8556149732620321,0.6020696142991533
0.4,0.48130841121495327,0.8262032085561497,0.6082677165354331
0.45,0.5094339622641509,0.7941176470588235,0.6206896551724138
0.5,0.5259259259259259,0.7593582887700535,0.6214442013129103
0.55,0.546583850931677,0.7058823529411765,0.6161026837806302
0.6,0.5613636363636364,0.660427807486631,0.6068796068796068
0.65,0.6057441253263708,0.6203208556149733,0.6129458388375165
0.7,0.6408668730650154,0.553475935828877,0.593974175035868
0.75,0.6829268292682927,0.44919786096256686,0.5419354838709678
0.8,0.7277777777777777,0.3502673796791444,0.4729241877256318
0.85,0.7319587628865979,0.18983957219251338,0.30148619957537154
0.9,0.7666666666666667,0.06149732620320856,0.11386138613861387
0.95,0.0,0.0,0.0
